SampleID Num_reads Num_R1 Num_R2 Num_Paired Num_MateMapped Num_Singletons Num_MateMappedDiffChr Coverage_depth
2100_47_H	2447312	1222950	1224362	1642480	2254368	48635	591910	2.52335
2100_47_J	3314770	1655809	1658961	2181812	3044338	63774	836234	2.50299
2100_48_I	2562390	1280339	1282051	1706570	2361786	46338	634886	2.4853
2101_14_G	2891787	1444754	1447033	1867436	2660602	56081	770398	2.82169
2101_14_I	2600598	1299289	1301309	1688958	2386794	50970	677174	2.74248
2101_46_K	2252327	1125100	1127227	1501396	2082330	41698	565202	2.81977
2101_46_O	3113520	1556042	1557478	2084158	2873150	56025	765424	2.91145
2101_47_K	3185495	1591630	1593865	2074360	2924432	60977	823740	2.67801
2101_49_K	2930907	1464552	1466355	1993218	2708186	48923	687744	2.87817
2101_49_L	3314092	1655771	1658321	2216980	3052448	54252	810310	2.49098
2101_50_M	2776308	1387518	1388790	1871022	2563614	49926	672036	2.67852
2103_36_A	3178877	1588560	1590317	2163270	2936154	51583	748432	2.68663
2103_36_B	2092037	1045373	1046664	1423802	1937700	35847	500006	2.53666
2103_36_C	2497681	1247935	1249746	1685386	2301266	41104	596308	2.9421
2103_36_E	3057709	1527262	1530447	1996782	2812158	61152	790454	2.86581
2103_38_B	2490898	1243875	1247023	1652232	2299822	47168	630558	2.70037
2103_39_A	3363592	1680590	1683002	2274570	3108962	57904	809720	2.72146
2103_40_B	3172122	1585047	1587075	2166388	2924814	59605	733806	2.64546
2103_40_D	3031981	1514548	1517433	1992094	2791780	57991	776800	2.61017
2505_36_O	3107897	1552705	1555192	2082314	2870356	55030	765326	2.60447
2505_38_O	2978329	1487709	1490620	1940650	2742080	57819	778364	2.58342
2505_39_O	2534588	1266355	1268233	1699944	2330920	48296	611106	2.83335
2505_40_O	2349586	1174278	1175308	1605092	2186152	38593	565342	2.62195
2505_60_G	2390553	1194448	1196105	1615394	2202560	46648	567772	2.59175
2505_60_I	2970816	1484733	1486083	1999610	2735416	49162	712872	2.51578
2505_9_A	2739408	1368559	1370849	1805208	2515920	52928	688472	2.54399
2505_9_C	2525912	1261860	1264052	1697764	2325400	45652	607618	2.60189
MN1_1	2313223	1155636	1157587	1544290	2134520	38962	573414	2.58837
MN1_2	2514709	1256525	1258184	1676980	2320644	42434	625718	2.29013
MN1_3	2565513	1281698	1283815	1731398	2365560	44593	615690	2.53468
MN1_5	2358111	1178079	1180032	1619590	2188036	37990	552474	2.26246
MN2_1	1606755	803251	803504	1112108	1491500	25721	368556	2.55455
MN2_2	2626381	1311738	1314643	1742076	2413502	48617	652262	2.37909
MN2_3	1779207	886693	892514	1190784	1629900	36141	426424	2.56566
MN2_4	2452785	1225627	1227158	1651562	2260876	43864	591602	2.58455
MN2_5	1713964	856393	857571	1180600	1578022	34079	384154	2.57753
WISC_10	2220848	1109713	1111135	1544064	2065228	35362	506072	2.50767
WISC_1	2674806	1336449	1338357	1783992	2465534	47593	661832	2.59096
WISC_2	2208737	1103638	1105099	1535752	2051056	35127	500448	2.45351
WISC_4	2319390	1158896	1160494	1544800	2123848	43066	561918	2.79736
WISC_5	2506244	1252089	1254155	1693428	2316872	42015	605824	2.39374
WISC_6	2166725	1082626	1084099	1461468	1997896	38762	520550	
WISC_7	3102293	1549316	1552977	2088690	2846438	57172	734616	
WISC_8	2030798	1014873	1015925	1385410	1871386	35813	471326	
WISC_9		
